"shapeid","x","y"
"0","154.777139795","-79.6971139284"
"0","155.241377999","-79.7943319153"
"0","155.354527958","-79.8303786751"
"0","155.437173344","-79.8695577708"
"0","155.531998867","-79.900707309"
"0","155.667395964","-79.9414829425"
"0","155.804018867","-79.9587172558"
"0","155.951366874","-79.9864035207"
"0","156.084799401","-80.0088490496"
"0","156.293673566","-80.0256382389"
"0","156.331784111","-80.0253063389"
"0","156.59988008","-80.0092740575"
"0","156.811817147","-79.9816773411"
"0","156.955911814","-79.9586421778"
"0","157.139944065","-79.9377373717"
"0","157.262711664","-79.9267191518"
"0","157.480942778","-79.9138206444"
"0","157.682117395","-79.901986572"
"0","157.875367389","-79.907805699"
"0","158.02706293","-79.9112852679"
"0","158.191035527","-79.9057183502"
"0","158.367819302","-79.8964476935"
